Time,Elec_Actual,Elec_Plan,Steam_Actual,Boiler_MW,Turbine_MW,Grid_kWh,Elec_Error
00:01:00,4.1,2.1,0.5,24.3,8.225,0,2
00:02:00,4.1,2.1,0.5,24.3,8.225,0,2
00:03:00,4.1,2.1,0.5,24.3,8.225,0,2
00:04:00,4.1,2.1,0.5,24.3,8.225,0,2
00:05:00,4.1,2.1,0.5,24.3,8.225,0,2
00:06:00,4.1,2.1,0.5,24.3,8.225,0,2
00:07:00,4.1,2.1,0.5,24.3,8.225,0,2
00:08:00,4.1,2.1,0.5,24.3,8.225,0,2
00:09:00,4.1,2.1,0.5,24.3,8.225,0,2
00:10:00,4.1,2.1,0.5,24.3,8.225,0,2
00:11:00,4.1,2.1,0.5,24.3,8.225,0,2
00:12:00,4.1,2.1,0.5,24.3,8.225,0,2
00:13:00,4.1,2.1,0.5,24.3,8.225,0,2
00:14:00,4.1,2.1,0.5,24.3,8.225,0,2
00:15:00,4.1,2.1,0.5,24.3,8.225,0,2
00:16:00,4.1,2.1,0.5,24.3,8.225,0,2
00:17:00,4.1,2.1,0.5,24.3,8.225,0,2
00:18:00,4.1,2.1,0.5,24.3,8.225,0,2
00:19:00,4.1,2.1,0.5,24.3,8.225,0,2
00:20:00,4.1,2.1,0.5,24.3,8.225,0,2
00:21:00,4.1,2.1,0.5,24.3,8.225,0,2
00:22:00,4.1,2.1,0.5,24.3,8.225,0,2
00:23:00,4.1,2.1,0.5,24.3,8.225,0,2
00:24:00,4.1,2.1,0.5,24.3,8.225,0,2
00:25:00,4.1,2.1,0.5,24.3,8.225,0,2
00:26:00,4.1,2.1,0.5,24.3,8.225,0,2
00:27:00,4.1,2.1,0.5,24.3,8.225,0,2
00:28:00,4.1,2.1,0.5,24.3,8.225,0,2
00:29:00,4.1,2.1,0.5,24.3,8.225,0,2
00:30:00,4.1,2.1,0.5,24.3,8.225,0,2
00:31:00,4.1,2.1,0.5,24.3,8.225,0,2
00:32:00,4.1,2.1,0.5,24.3,8.225,0,2
00:33:00,4.1,2.1,0.5,24.3,8.225,0,2
00:34:00,4.1,2.1,0.5,24.3,8.225,0,2
00:35:00,4.1,2.1,0.5,24.3,8.225,0,2
00:36:00,4.1,2.1,0.5,24.3,8.225,0,2
00:37:00,4.1,2.1,0.5,24.3,8.225,0,2
00:38:00,4.1,2.1,0.5,24.3,8.225,0,2
00:39:00,4.1,2.1,0.5,24.3,8.225,0,2
00:40:00,4.1,2.1,0.5,24.3,8.225,0,2
00:41:00,4.1,2.1,0.5,24.3,8.225,0,2
00:42:00,4.1,2.1,0.5,24.3,8.225,0,2
00:43:00,4.1,2.1,0.5,24.3,8.225,0,2
00:44:00,4.1,2.1,0.5,24.3,8.225,0,2
00:45:00,4.1,2.1,0.5,24.3,8.225,0,2
00:46:00,4.1,2.1,0.5,24.3,8.225,0,2
00:47:00,4.1,2.1,0.5,24.3,8.225,0,2
00:48:00,4.1,2.1,0.5,24.3,8.225,0,2
00:49:00,4.1,2.1,0.5,24.3,8.225,0,2
00:50:00,4.1,2.1,0.5,24.3,8.225,0,2
00:51:00,4.1,2.1,0.5,24.3,8.225,0,2
00:52:00,4.1,2.1,0.5,24.3,8.225,0,2
00:53:00,4.1,2.1,0.5,24.3,8.225,0,2
00:54:00,4.1,2.1,0.5,24.3,8.225,0,2
00:55:00,4.1,2.1,0.5,24.3,8.225,0,2
00:56:00,4.1,2.1,0.5,24.3,8.225,0,2
00:57:00,4.1,2.1,0.5,24.3,8.225,0,2
00:58:00,4.1,2.1,0.5,24.3,8.225,0,2
00:59:00,4.1,2.1,0.5,24.3,8.225,0,2
01:00:00,4.1,13.3,0.5,29.3,7.785,0.2075,-9.2
01:01:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:02:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:03:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:04:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:05:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:06:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:07:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:08:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:09:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:10:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:11:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:12:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:13:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:14:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:15:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:16:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:17:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:18:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:19:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:20:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:21:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:22:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:23:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:24:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:25:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:26:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:27:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:28:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:29:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:30:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:31:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:32:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:33:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:34:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:35:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:36:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:37:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:38:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:39:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:40:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:41:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:42:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:43:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:44:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:45:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:46:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:47:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:48:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:49:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:50:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:51:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:52:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:53:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:54:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:55:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:56:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:57:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:58:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
01:59:00,4.1,13.3,0.5,31.5,7.785,0.2075,-9.2
02:00:00,4.1,2.1,0.5,26.5,8.225,0,2
